Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
100998;4734;Globicornis nigripes;;Art;128;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101280;4736;Megatoma pubescens;ljus tallänger;Art;4;Skog (S) - Stor betydelse;EN;B2ab(iii)
101929;4760;Trinodes hirtus;;Art;147;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101408;4763;Nosodendron fasciculare;;Art;101;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii,iv)
100297;4778;Hemicoelus costatus;gråbandad trägnagare;Art;286;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100298;4779;Hemicoelus fulvicornis;;Art;284;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101032;4787;Hadrobregmus confusus;nordlig trägnagare;Art;122;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101446;4797;Oligomerus brunneus;;Art;55;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
100296;4806;Anitys rubens;;Art;149;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100854;4811;Dorcatoma ambjoerni;;Art;5;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)
105331;4815;Dorcatoma janssoni;;Art;11;Skog (S) - Stor betydelse;VU;B2ab(iii)
102228;4817;Dorcatoma minor;;Art;39;Skog (S) - Stor betydelse;VU;B2ab(iii)
102250;4827;Grynobius planus;;Art;150;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
105316;4836;Ernobius explanatus;;Art;165;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii)
101651;4915;Pseudoptilinus fissicollis;lindgrengnagare;Art;81;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii)
102358;4917;Xyletinus ater;;Art;239;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101990;4920;Xyletinus laticollis;;Art;16;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;EN;B2ab(iii)
101991;4921;Xyletinus longitarsis;;Art;197;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
101992;4922;Xyletinus pectinatus;;Art;129;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
101994;4924;Xyletinus tremulicola;aspbarkgnagare;Art;351;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
101995;4925;Xyletinus vaederoeensis;;Art;39;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100218;4937;Agrilus convexicollis;askpraktbagge;Art;106;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;"A3c; B2b(iii)"
100219;4942;Agrilus guerini;spetspraktbagge;Art;94;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;NT;B1ab(iii)+2ab(iii)
102159;4946;Agrilus laticornis;bredhornad praktbagge;Art;200;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100220;4948;Agrilus mendax;rönnpraktbagge;Art;35;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii)
100221;4950;Agrilus olivicolor;hasselpraktbagge;Art;176;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(iii)
100222;4957;Agrilus subauratus;juvelpraktbagge;Art;18;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
6051277;4975;Trachys compressus;ängsväddspraktbagge;Art;26;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
211273;4979;Trachys scrobiculatus;myntepraktbagge;Art;3;Jordbrukslandskap (J) - Stor betydelse;VU;B2ab(iii)
