Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
220244;105021;Lobularia maritima;strandkrassing;Art;956;Urban miljö (U) - Stor betydelse;NA;
220553;105023;Lunaria annua;judaspenningar;Art;2614;Urban miljö (U) - Stor betydelse;NA;
223864;105024;Lunaria annua subsp. annua;vanliga judaspenningar;Underart;133;Urban miljö (U) - Stor betydelse;NA;
223865;105025;Lunaria annua subsp. pachyrhiza;midaspenningar;Underart;1;Urban miljö (U) - Stor betydelse;NA;
219850;105028;Malcolmia africana;arabisk lövkoja;Art;3;Urban miljö (U) - Stor betydelse;NA;
220556;105029;Malcolmia chia;egeisk lövkoja;Art;1;Urban miljö (U) - Stor betydelse;NA;
220557;105030;Malcolmia maritima;strandlövkoja;Art;166;Urban miljö (U) - Stor betydelse;NA;
222753;105032;Matthiola incana;lövkoja;Art;52;Urban miljö (U) - Stor betydelse;NA;
220559;105033;Matthiola longipetala;grekisk lövkoja;Art;228;Urban miljö (U) - Stor betydelse;NA;
223866;105034;Matthiola longipetala subsp. bicornis;grekisk lövkoja;Underart;54;Urban miljö (U) - Stor betydelse;NA;
220560;105036;Matthiola parviflora;berberlövkoja;Art;1;Urban miljö (U) - Stor betydelse;NA;
220830;105039;Moricandia arvensis;blåsenap;Art;3;Urban miljö (U) - Stor betydelse;NA;
219856;105043;Myagrum perfoliatum;håldådra;Art;51;Urban miljö (U) - Stor betydelse;NA;
223868;105051;Neslia paniculata subsp. thracica;vårtdådra;Underart;0;Urban miljö (U) - Stor betydelse;NA;
221493;105060;Peltaria alliacea;penningtrav;Art;18;Urban miljö (U) - Stor betydelse;NA;
259697;105062;Pritzelago alpina;alpkrassing;Art;0;Urban miljö (U) - Stor betydelse;;
223870;105070;Raphanus raphanistrum subsp. maritimus;strandrättika;Underart;7;Urban miljö (U) - Stor betydelse;NA;
220572;105072;Raphanus sativus;rädisa/rättika;Art;1141;Urban miljö (U) - Stor betydelse;NA;
223872;105073;Raphanus sativus var. niger;rättika;Varietet;155;Urban miljö (U) - Stor betydelse;NA;
6007697;105074;Raphanus sativus var. oleiformis;oljerättika;Varietet;77;Urban miljö (U) - Stor betydelse;NA;
223873;105075;Raphanus sativus var. sativus;rädisa;Varietet;373;Urban miljö (U) - Stor betydelse;NA;
220573;105078;Rapistrum perenne;flerårig stäppsenap;Art;33;Urban miljö (U) - Stor betydelse;NA;
220574;105079;Rapistrum rugosum;stäppsenap;Art;191;Urban miljö (U) - Stor betydelse;NA;
223874;105080;Rapistrum rugosum subsp. linnaeanum;spansk stäppsenap;Underart;17;Urban miljö (U) - Stor betydelse;NA;
223875;105081;Rapistrum rugosum subsp. orientale;orientalisk stäppsenap;Underart;36;Urban miljö (U) - Stor betydelse;NA;
223876;105082;Rapistrum rugosum subsp. rugosum;hårig stäppsenap;Underart;19;Urban miljö (U) - Stor betydelse;NA;
220582;105087;Rorippa × armoracioides;vägfräne;Art;761;Urban miljö (U) - Stor betydelse;NA;
220584;105088;Rorippa austriaca;klotfräne;Art;324;Urban miljö (U) - Stor betydelse;NA;
220587;105098;Sinapis alba;vitsenap;Art;1108;Urban miljö (U) - Stor betydelse;NA;
223880;105099;Sinapis alba subsp. alba;vanlig vitsenap;Underart;168;Urban miljö (U) - Stor betydelse;NA;
223881;105100;Sinapis alba subsp. dissecta;linsenap;Underart;4;Urban miljö (U) - Stor betydelse;NA;
220589;105103;Sisymbrium altissimum;hamnsenap;Art;4456;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
220590;105104;Sisymbrium austriacum;donausenap;Art;26;Urban miljö (U) - Stor betydelse;NA;
220591;105105;Sisymbrium erysimoides;fransksenap;Art;0;Urban miljö (U) - Stor betydelse;NA;
220592;105106;Sisymbrium irio;vallsenap;Art;155;Urban miljö (U) - Stor betydelse;NA;
220593;105107;Sisymbrium loeselii;borstsenap;Art;1016;Urban miljö (U) - Stor betydelse;NA;
220596;105112;Sisymbrium orientale;orientsenap;Art;480;Urban miljö (U) - Stor betydelse;NA;
264654;105113;Sisymbrium orientale var. orientale;;Varietet;22;Urban miljö (U) - Stor betydelse;NA;
